Station_number,Observation_time,Showalter_index,Lifted_index,SWEAT_index,Precipitable_water_mm_for_entire_sounding
42647,180320/1200,5.24,6.19,104.4,17.86
42647,180321/0000,5.79,8.43,105.21,16.44
42647,180321/1200,0.75,1.49,154.21,21.42
42647,180322/0000,3.26,5.82,155.39,17.1
42647,170901/0000,6.02,3.61,259.81,56.65
42647,170902/0000,4.35,0.94,242.59,64.68
42647,170903/0000,-2.4,-3.39,243.38,66.97
42647,170904/0000,-3.96,-5.7,242.2,67.19
42647,170905/0000,-3.39,-4.71,247.4,51.11
42647,170906/0000,1.4,0.09,238.6,44.58
42647,170907/0000,1.51,-1,211,46
42647,170909/0000,1.87,-2.77,203.78,56.54
42647,170911/0000,-2.92,-4.13,242.01,67.29
42647,170912/0000,-4.46,-5.89,245.18,70.29
42647,170913/0000,-0.61,-2.54,239.99,58.34
42647,170914/0000,-0.41,-1.84,219.21,54.93
42647,170915/0000,-2.19,-3.44,230.59,55.55
42647,170916/0000,-1.52,-3.64,221.8,67.94
42647,170917/0000,-1.35,-1.95,261.39,70.84
42647,170918/0000,0.01,-1.86,242.99,66.93
42647,170919/0000,0.64,-3.48,215.78,60.98
42647,170920/0000,-0.1,-6.63,178.98,55.35
42647,170921/0000,2.95,-3.13,153.78,43.88
42647,170922/0000,1.87,-3.79,157,55.04
42647,170810/0000,0.03,-1.48,256.4,70.58
42647,170811/0000,1.53,-0.51,260,67.58
42647,170812/0000,1.22,-0.72,271.58,67.42
42647,170813/0000,1.93,-0.8,256.17,66.43
42647,170814/0000,2.53,-0.8,245.62,59.51
42647,170815/0000,1.13,-1.77,244.99,60.1
42647,170816/0000,0.21,-1.47,236.98,55.72
42647,170817/0000,1.06,-1.29,225.19,51.43
42647,170818/0000,1.38,-0.14,235.19,54.78
42647,170819/0000,-0.9,-1.94,243.61,60.32
42647,170820/0000,-1.3,-2.77,287.22,73.59
42647,170821/0000,-1.27,-4.21,277.39,72.02
42647,170822/0000,-2.22,-4.54,261.59,73.63
42647,170823/0000,-4.44,-5.03,264.79,68.59
42647,170824/0000,-1.04,-1.17,266.21,65.12
42647,170825/0000,-0.19,-2.79,229.38,60.4
42647,170826/0000,-1.41,-3.37,244.2,66.85
42647,170827/0000,-1.76,-5.36,244.6,71.92
42647,170828/0000,-5.04,-4.22,299.41,72.28
42647,170830/0000,-2.4,-3.61,279.4,80.81
42647,170831/0000,2.4,-0.61,287.38,67.74
42647,170701/0000,-2.92,-3.48,288,77.25
42647,170702/0000,1.31,-2.46,277.39,77.48
42647,170703/0000,0.29,-3.17,260.59,75.59
42647,170704/0000,0.55,-2.6,276.58,67.22
42647,170705/0000,1.43,-1.48,269.78,47.71
42647,170706/0000,3.15,-1.11,264.61,46.61
42647,170707/0000,3.6,-0.24,244.82,50.4
42647,170610/0000,-0.89,-3.17,225.39,61.62
42647,170611/0000,2.04,-1.59,135.99,32.24
42647,170616/0000,-2.5,-5.65,267.82,44.87
42647,170617/0000,-2.32,-4.27,282.2,45.51
42647,170618/0000,0,-2.99,242.59,45.93
42647,170619/0000,1.27,-1.24,253.79,46.75
42647,170620/0000,-6.33,-9.4,375.22,49.29
42647,170621/0000,-5.25,-8.01,337.61,56.81
42647,170622/0000,-2.53,-5.07,275.62,53.18
42647,170623/0000,,-6.13,,46.92
42647,170625/0000,-3.45,-4.75,257.78,64.24
42647,170626/0000,-0.29,-2.21,260,71.85
42647,170627/0000,1.88,-1.37,220.81,67.43
42647,170628/0000,-0.52,-2.03,269,75.15
42647,170630/0000,1.06,-1.08,279.81,75.03
42647,170501/0000,0.66,-4.68,122.39,29.93
42647,170502/0000,2.48,1.73,122.18,27.21
42647,170503/0000,1.46,3.06,112.6,26.02
42647,170504/0000,-3.96,-3.6,281.4,36.55
42647,170505/0000,-1.04,1.76,170.79,27.59
42647,170506/0000,4.37,5.67,34.98,17.23
42647,170507/0000,-0.79,-3.82,152.58,27.64
42647,170508/0000,-0.71,-1.39,130.79,22.9
42647,170517/0000,4.48,-3.79,109.8,30.65
42647,170520/0000,3.84,-6.48,83.22,31.35
42647,170521/0000,6.06,-5.93,36.99,36.26
42647,170522/0000,-2.3,-2.24,242.59,37.64
42647,170523/0000,1.36,-6.97,92.59,32.45
42647,170524/0000,0.15,-5.74,112.41,32.83
42647,170525/0000,-7.86,-8.38,433,63.15
42647,170526/0000,0.04,-2.25,194.81,43.49
42647,170527/0000,4.3,-1.45,170.4,41.39
42647,170401/0000,6.51,0.79,49.01,26.85
42647,170402/0000,2.99,3.5,113.59,19.91
42647,170403/0000,4.4,0.52,105.38,24.91
42647,170404/0000,0.7,-0.53,184.59,33.09
42647,170405/0000,4.57,-3.39,126.82,34.64
42647,170406/0000,5.84,-2.74,165.18,28.61
42647,170407/0000,11.49,9.23,149.75,12.63
42647,170408/0000,12.48,12.23,56.99,11.72
42647,170409/0000,11.78,13.06,45.01,11.66
42647,170410/0000,8.11,12.66,71.02,14.84
42647,170411/0000,6.55,6.22,27.99,11.29
42647,170412/0000,5.99,6.03,23.99,13.61
42647,170413/0000,6.63,7.74,18.98,14.74
42647,170414/0000,5.15,6.9,32.01,16
42647,170415/0000,3.25,5.97,51.21,19.14
42647,170416/0000,7.01,9.67,24.01,14.5
42647,170417/0000,5.56,5.78,38,19.05
42647,170418/0000,7.99,3.72,35,17.32
42647,170419/0000,6.51,4.56,66.01,19.19
42647,170420/0000,5.61,3.32,77.99,19.05
42647,170421/0000,5.62,-4.92,48.02,25.65
42647,170422/0000,0.82,-4.41,119.79,30.9
42647,170424/0000,12.3,-1.67,53.01,20.87
42647,170425/0000,-3.88,-6.75,291.6,37.69
42647,170426/0000,-0.72,-16.63,133.8,26.23
42647,170427/0000,12.07,2.25,30.01,8.62
42647,170429/0000,-7.2,-8.75,403.21,40.01
42647,170430/0000,-2.9,-7.61,256.21,32.56
42647,170301/0000,4.12,3.91,79,20.25
42647,170302/0000,3.65,3.25,122.41,21.04
42647,170303/0000,7.94,6.65,60.99,13.11
42647,170304/0000,4.66,5.66,105.4,20.2
42647,170305/0000,9.24,9.39,60.99,11.56
42647,170306/0000,7.12,8.22,52,17.04
42647,170307/0000,2.79,4.49,54.2,23.3
42647,170308/0000,10.04,8.51,176.21,30.2
42647,170309/0000,10.65,6.5,125.79,22.04
42647,170310/0000,4.46,8.93,198,26.08
42647,170311/0000,16.83,16.34,114.02,9.93
42647,170312/0000,19.44,19.18,63,7.67
42647,170313/0000,20.48,22.82,57.01,2.06
42647,170314/0000,13.48,15.76,85.99,6.86
42647,170315/0000,7.83,8.98,77,12.98
42647,170316/0000,3.85,4.52,45.98,17.17
42647,170317/0000,3.97,4.01,146.01,24.45
42647,170318/0000,3.5,5.89,156.19,29.39
42647,170319/0000,4.15,1.07,171.78,27.84
42647,170320/0000,4.43,2.37,103.6,21.24
42647,170321/0000,5.14,4.55,112.38,22.26
42647,170322/0000,4.31,4.44,68.59,23.96
42647,170323/0000,2.82,1.89,120.39,27.81
42647,170324/0000,4.88,2.98,112.21,22.94
42647,170327/0000,2.47,2.46,109.19,27.08
42647,170329/0000,4.51,2.87,102,23.91
42647,170330/0000,4.71,7.64,102,22.65
42647,170331/0000,6.57,3.08,53.01,24.16
42647,170201/0000,15.23,10.34,67.99,11.99
42647,170202/0000,12.32,9.23,50.02,12.64
42647,170203/0000,6.35,7.79,93.81,19.44
42647,170204/0000,3.55,9.27,250.29,19.22
42647,170205/0000,12.24,12.92,198.75,18.4
42647,170206/0000,16.75,17.62,71.99,7.79
42647,170207/0000,17.13,14.18,49.01,9.79
42647,170208/0000,13.25,11.27,181.5,11.31
42647,170209/0000,11.93,14.69,96,11.29
42647,170210/0000,8.34,12.49,58.99,10.04
42647,170211/0000,3.59,7.69,77.19,17.13
42647,170212/0000,10.13,11.14,90.19,15.66
42647,170213/0000,4.51,7.01,131.78,19.84
42647,170214/0000,1.17,4.63,134.99,27.98
42647,170215/0000,0.26,0.83,155.19,30
42647,170216/0000,2.75,0.5,110.61,28.38
42647,170217/0000,8.5,2.79,17,23.16
42647,170219/0000,7.67,3.06,16.01,19.92
42647,170220/0000,4.93,4.3,248.98,22.34
42647,170221/0000,12.97,9.08,102.99,18.24
42647,170222/0000,14.63,7.31,104.97,22.79
42647,170223/0000,12.87,8.96,69,18.58
42647,170224/0000,12.14,11.05,32.98,11.54
42647,170225/0000,12.7,10.52,48,12.6
42647,170226/0000,7.25,7.39,50.99,15.87
42647,170227/0000,5.16,3.63,51.2,17.2
42647,170228/0000,2.75,3.7,87.6,21.76
42647,170101/0000,9.68,4.31,56,16.25
42647,170102/0000,11.84,7.26,84.01,17.17
42647,170103/0000,9.56,8.32,47.98,20.28
42647,170104/0000,10.62,8.48,56.99,17.19
42647,170105/0000,11.56,10.45,93.4,17.12
42647,170106/0000,9.42,7.47,144.18,19.05
42647,170107/0000,3.28,3.52,220.39,28.13
42647,170108/0000,3.96,3.79,188.01,19.89
42647,170109/0000,22.5,11.42,70.98,12.22
42647,170111/0000,20.69,16.01,70.98,11.42
42647,170112/0000,19.32,15.63,76.98,10.12
42647,170113/0000,14.31,14.29,87,11.79
42647,170114/0000,26.76,28.61,42.53,138.28
42647,170116/0000,5.4,5.08,94.39,18.81
42647,170117/0000,10.05,10.16,70.01,13.77
42647,170118/0000,10.53,7.24,47.01,17.43
42647,170119/0000,7.26,5.54,36.99,18.71
42647,170120/0000,2.69,12,152.99,28.79
42647,170121/0000,3.83,8.27,123.18,23.46
42647,170122/0000,4.75,4.18,133.6,26.98
42647,170123/0000,1.35,1.41,147.79,26.14
42647,170124/0000,0.88,1.37,156.19,25.68
42647,170125/0000,0.79,-2.39,142.22,30.47
42647,170126/0000,-1.69,-2.89,257.61,30.16
